,시도명,지정사유,지정연도,도로폭,도로차로수,보차분리여부
215,서울특별시,사유불분명,0.0,6.0,1.0,N
216,서울특별시,사유불분명,0.0,7.0,1.0,Y
217,서울특별시,사유불분명,0.0,6.5,1.0,N
218,서울특별시,사유불분명,0.0,6.0,1.0,Y
219,서울특별시,사유불분명,0.0,10.0,2.0,N
220,서울특별시,사유불분명,0.0,10.0,1.0,Y
221,서울특별시,사유불분명,0.0,8.0,1.0,N
222,서울특별시,사유불분명,0.0,4.0,1.0,N
223,서울특별시,사유불분명,0.0,5.0,1.0,N
225,서울특별시,사유불분명,0.0,2.5,1.0,N
226,서울특별시,사유불분명,0.0,5.0,1.0,N
227,서울특별시,사유불분명,0.0,5.0,1.0,N
229,서울특별시,사유불분명,0.0,8.0,1.0,Y
230,서울특별시,사유불분명,0.0,6.0,1.0,N
231,서울특별시,사유불분명,0.0,5.0,1.0,N
232,서울특별시,사유불분명,0.0,9.0,1.0,N
233,경기도,사유불분명,0.0,6.0,1.0,N
234,경기도,사유불분명,0.0,8.0,1.0,N
235,경기도,사유불분명,0.0,10.0,2.0,Y
236,경기도,사유불분명,0.0,6.0,1.0,Y
237,경기도,사유불분명,0.0,6.0,1.0,N
238,경기도,사유불분명,0.0,6.0,1.0,N
239,경기도,사유불분명,0.0,8.0,1.0,N
240,경기도,사유불분명,0.0,8.0,1.0,N
241,경기도,사유불분명,0.0,7.1,1.0,Y
242,경기도,사유불분명,0.0,9.8,2.0,Y
243,경기도,사유불분명,0.0,10.0,2.0,Y
244,경기도,사유불분명,0.0,10.0,2.0,N
245,경기도,사유불분명,0.0,10.0,2.0,Y
246,경기도,사유불분명,0.0,10.0,2.0,Y
247,경기도,사유불분명,0.0,9.7,2.0,Y
248,경기도,사유불분명,0.0,9.7,2.0,Y
249,경기도,사유불분명,0.0,10.0,2.0,Y
250,경기도,사유불분명,0.0,6.3,1.0,N
251,경기도,사유불분명,0.0,6.0,1.0,N
252,서울특별시,사유불분명,0.0,6.0,1.0,Y
253,서울특별시,사유불분명,0.0,6.0,1.0,Y
254,서울특별시,사유불분명,0.0,6.0,1.0,N
255,서울특별시,사유불분명,0.0,3.5,1.0,N
256,서울특별시,사유불분명,0.0,6.0,1.0,N
257,서울특별시,사유불분명,0.0,6.0,1.0,N
258,서울특별시,사유불분명,0.0,10.0,1.0,N
259,서울특별시,사유불분명,0.0,5.0,1.0,N
260,서울특별시,사유불분명,0.0,4.0,1.0,N
261,서울특별시,사유불분명,0.0,3.5,1.0,N
262,서울특별시,사유불분명,0.0,3.0,1.0,N
263,서울특별시,사유불분명,0.0,4.0,1.0,N
264,서울특별시,사유불분명,0.0,5.0,1.0,N
265,서울특별시,사유불분명,0.0,5.0,1.0,N
266,경상북도,사유불분명,0.0,7.0,1.0,N
267,서울특별시,안전,1999.0,3.7,1.0,N
268,경기도,사유불분명,2019.0,7.0,1.0,N
269,경기도,사유불분명,2021.0,4.0,1.0,N
270,경기도,사유불분명,2021.0,6.0,1.0,N
271,경기도,사유불분명,0.0,8.0,1.0,Y
272,경기도,사유불분명,0.0,6.0,1.0,N
273,경기도,사유불분명,0.0,6.0,1.0,N
274,경기도,사유불분명,0.0,6.0,1.0,N
275,경기도,사유불분명,0.0,5.0,1.0,N
276,경기도,사유불분명,0.0,5.0,1.0,N
277,경기도,사유불분명,0.0,9.0,1.0,N
278,경기도,사유불분명,0.0,4.0,1.0,N
279,경기도,사유불분명,0.0,4.0,1.0,N
280,경기도,사유불분명,0.0,6.0,1.0,N
281,경기도,사유불분명,0.0,6.0,1.0,N
282,경기도,사유불분명,0.0,6.0,1.0,N
283,경기도,사유불분명,0.0,8.0,1.0,N
284,경기도,사유불분명,0.0,6.0,1.0,N
285,경기도,사유불분명,0.0,6.0,1.0,N
286,경기도,사유불분명,0.0,8.0,1.0,Y
287,경기도,사유불분명,0.0,6.0,1.0,N
288,경기도,사유불분명,0.0,6.0,1.0,Y
289,경기도,사유불분명,0.0,6.0,1.0,N
290,경기도,사유불분명,0.0,6.0,1.0,N
291,경기도,사유불분명,0.0,5.5,1.0,N
292,경기도,사유불분명,0.0,6.0,1.0,N
293,경기도,사유불분명,0.0,8.0,1.0,N
294,경기도,사유불분명,0.0,8.5,1.0,N
295,경기도,사유불분명,0.0,8.0,1.0,N
296,경기도,사유불분명,0.0,8.0,1.0,N
297,충청남도,사유불분명,0.0,4.5,1.0,Y
298,경기도,사유불분명,0.0,7.5,1.0,N
299,경기도,사유불분명,0.0,5.5,1.0,N
300,경기도,사유불분명,0.0,6.0,1.0,N
301,경기도,사유불분명,2015.0,6.0,1.0,N
302,경기도,사유불분명,2016.0,10.0,1.0,Y
303,경기도,사유불분명,2016.0,8.0,1.0,N
304,경기도,사유불분명,2017.0,6.0,1.0,N
305,경기도,사유불분명,2017.0,9.0,1.0,N
306,경기도,사유불분명,2017.0,7.0,1.0,N
307,경기도,사유불분명,0.0,8.0,1.0,Y
308,경기도,사유불분명,0.0,8.2,1.0,N
310,경기도,사유불분명,0.0,8.0,1.0,Y
311,경기도,사유불분명,0.0,6.0,1.0,N
312,경기도,사유불분명,0.0,6.0,1.0,N
313,경기도,사유불분명,0.0,6.0,1.0,Y
314,경기도,사유불분명,0.0,6.0,1.0,N
315,경기도,사유불분명,0.0,6.0,1.0,N
316,경기도,사유불분명,0.0,10.0,1.0,N
317,경기도,사유불분명,0.0,6.0,1.0,N
318,경기도,사유불분명,0.0,8.0,1.0,N
319,경기도,사유불분명,0.0,6.0,1.0,Y
320,경기도,사유불분명,0.0,6.0,1.0,Y
321,경기도,사유불분명,0.0,6.0,1.0,N
322,경기도,사유불분명,0.0,8.0,1.0,N
323,경기도,사유불분명,0.0,6.0,1.0,N
324,경기도,사유불분명,0.0,8.0,1.0,N
325,경기도,사유불분명,0.0,6.0,1.0,N
326,경기도,사유불분명,0.0,6.0,1.0,N
327,경기도,사유불분명,0.0,6.0,1.0,N
328,경기도,사유불분명,0.0,5.0,1.0,Y
329,경기도,사유불분명,0.0,6.0,1.0,N
330,경상북도,사유불분명,0.0,8.0,1.0,N
331,경상북도,사유불분명,0.0,5.0,1.0,N
332,충청남도,사유불분명,0.0,5.0,1.0,N
333,경기도,사유불분명,0.0,6.0,1.0,Y
334,경기도,사유불분명,0.0,5.0,1.0,Y
335,경기도,사유불분명,0.0,7.0,3.0,Y
336,경기도,사유불분명,0.0,7.0,3.0,Y
337,경기도,사유불분명,0.0,7.0,1.0,Y
338,경기도,사유불분명,0.0,4.0,1.0,Y
339,경기도,사유불분명,0.0,4.0,1.0,Y
340,경기도,사유불분명,0.0,4.0,1.0,Y
341,경기도,사유불분명,0.0,4.0,1.0,Y
342,경기도,사유불분명,0.0,2.0,1.0,Y
343,경상북도,안전,2016.0,6.0,1.0,N
344,경상북도,안전,2016.0,6.0,1.0,N
345,경상북도,안전,2016.0,6.0,1.0,N
346,경기도,주민건의,0.0,3.0,1.0,N
347,경기도,주민건의,0.0,6.0,2.0,Y
348,경기도,주민건의,0.0,3.0,1.0,N
349,경기도,주민건의,0.0,3.0,1.0,N
350,경기도,주민건의,0.0,3.0,1.0,N
351,경기도,주민건의,0.0,6.0,2.0,Y
352,경기도,주민건의,0.0,3.0,1.0,N
353,경기도,주민건의,0.0,3.0,1.0,N
354,경기도,주민건의,2013.0,3.0,1.0,N
355,경기도,주민건의,2013.0,6.0,2.0,N
356,경기도,주민건의,2013.0,3.0,1.0,N
357,경기도,주민건의,2005.0,3.0,1.0,Y
358,경기도,주민건의,2005.0,3.0,1.0,Y
359,경기도,주민건의,2005.0,3.0,1.0,Y
360,경기도,주민건의,0.0,3.0,1.0,N
361,경기도,주민건의,0.0,3.0,1.0,Y
362,경상북도,사유불분명,0.0,4.0,1.0,N
363,경상북도,사유불분명,0.0,4.0,1.0,N
364,경상북도,사유불분명,0.0,4.0,1.0,N
365,경상북도,사유불분명,0.0,4.0,1.0,N
366,경상북도,사유불분명,0.0,6.0,1.0,N
367,경상북도,사유불분명,0.0,4.0,1.0,N
368,경상북도,사유불분명,0.0,10.0,1.0,Y
369,경상북도,사유불분명,0.0,5.0,1.0,N
370,경상북도,사유불분명,0.0,8.0,1.0,N
371,경상북도,사유불분명,0.0,8.0,2.0,N
372,경상북도,사유불분명,0.0,7.0,1.0,N
373,전라남도,사유불분명,0.0,9.0,1.0,N
374,전라남도,사유불분명,0.0,4.0,1.0,N
